#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__UBA5150	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__UBA6224	2
d__Bacteria|p__Planctomycetota	11
d__Bacteria|p__Planctomycetota|c__MHYJ01	1
d__Bacteria|p__Planctomycetota|c__MHYJ01|o__MHYJ01	1
d__Bacteria|p__Planctomycetota|c__MHYJ01|o__MHYJ01|f__	1
d__Bacteria|p__Planctomycetota|c__MHYJ01|o__MHYJ01|f__|g__	2
d__Bacteria|p__Planctomycetota|c__Phycisphaerae	2
d__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__UBA1161	2
d__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__UBA1161|f__UBA1161	2
d__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__UBA1161|f__UBA1161|g__	4
d__Bacteria|p__Planctomycetota|c__Planctomycetes	6
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Gemmatales	1
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Gemmatales|f__Gemmataceae	1
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Gemmatales|f__Gemmataceae|g__	2
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales	2
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__PALSA-1355	2
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__PALSA-1355|g__	4
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales	3
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Planctomycetaceae	3
d__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Planctomycetaceae|g__	6
d__Bacteria|p__Planctomycetota|c__UBA11346	2
d__Bacteria|p__Planctomycetota|c__UBA11346|o__UBA11346	2
d__Bacteria|p__Planctomycetota|c__UBA11346|o__UBA11346|f__UBA11346	2
d__Bacteria|p__Planctomycetota|c__UBA11346|o__UBA11346|f__UBA11346|g__	2
d__Bacteria|p__Planctomycetota|c__UBA11346|o__UBA11346|f__UBA11346|g__BOG-1363	2
d__Bacteria|p__Proteobacteria	214
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	143
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales	19
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae	19
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__BOG-934	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Palsa-883	20
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Rhodopila	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930	28
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae	28
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__AP-15	48
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Azospirillales_A	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Azospirillales_A|f__BOG-932	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Azospirillales_A|f__BOG-932|g__BOG-932	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__BOG-935	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Palsa-881	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales|f__Dongiaceae	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales|f__Dongiaceae|g__	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__Reyranella	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	63
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	7
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__GAS188	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylocella	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Roseiarcus	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__AWTP1-13	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Labraceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Labraceae|g__Labrys	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodomicrobiaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodomicrobiaceae|g__FEN-921	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	53
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__	16
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__BOG-931	36
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Bradyrhizobium	38
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__P52-10	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Palsa-892	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__VAZQ01	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA1301	14
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA1301|f__UBA1301	14
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA1301|f__UBA1301|g__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA1301|f__UBA1301|g__UBA6038	26
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	71
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__|f__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__|f__|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales	21
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Collimonas	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Herminiimonas	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Janthinobacterium	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Rhizobacter	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Ga0077523	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Ga0077523|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Palsa-1005	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Palsa-1005|g__PALSA-1003	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Palsa-1005|g__VBCG01	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-40	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-40|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__UKL13-2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__UKL13-2|g__GR16-43	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Diplorickettsiales	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Diplorickettsiales|f__Diplorickettsiaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Diplorickettsiales|f__Diplorickettsiaceae|g__Rickettsiella	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SLND01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SLND01|f__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SLND01|f__|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales	44
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae	44
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__	22
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19	26
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Bog-1198	26
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__FEN-1191	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__ZC4RG24	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__	4
d__Bacteria|p__T1SED10-198M	1
d__Bacteria|p__T1SED10-198M|c__	1
d__Bacteria|p__T1SED10-198M|c__|o__	1
d__Bacteria|p__T1SED10-198M|c__|o__|f__	1
d__Bacteria|p__T1SED10-198M|c__|o__|f__|g__	2
d__Bacteria|p__Verrucomicrobiota	50
d__Bacteria|p__Verrucomicrobiota_A	6
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia	6
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales	6
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales|f__Rhabdochlamydiaceae	3
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales|f__Rhabdochlamydiaceae|g__PALSA-1444	6
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales|f__SM23-39	3
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales|f__SM23-39|g__	4
d__Bacteria|p__Verrucomicrobiota_A|c__Chlamydiia|o__Parachlamydiales|f__SM23-39|g__PALSA-1448	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	50
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales	19
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__	10
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__|g__	20
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450	9
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__AV40	16
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__AV55	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales	8
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__|g__	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae	7
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__	4
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Palsa-1447	10
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales	23
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae	23
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__Pedosphaera	12
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__PSRM01	12
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__UBA11358	20
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__UBA3939	2
